,,,,,,,,,,,
#EJECUCIÓN GASTOS- EJERCICIO 2013,,,,,,,,,,,
,,,,,,,,,,,
#Org.,Prog.,Econ.,Denominación,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,172,22736,Mejora del medio ambiente. Mantenimiento punto limpio,Mejora del medio ambiente. Mantenimiento punto limpio,,172,2,80838.79,0,80838.79,80838.79
,,,,,,,,,,,
,230,22636,Servicios sociales..Otros servicios de Bienestar Social,Servicios sociales..Otros servicios de Bienestar Social,,230,2,2200,0,2200,0
,,,,,,,,,,,
,230,22753,Servicios sociales. Servicos Sociales,Servicios sociales. Servicos Sociales,,230,2,83472,0,83472,0
,,,,,,,,,,,
,230,48000,"Servicios Sociales, Subvención Fundación Amás","Servicios Sociales, Subvención Fundación Amás",,230,4,1500,0,1500,1500
,,,,,,,,,,,
,230,48099,Servicios sociales..Otras subvenciones,Servicios sociales..Otras subvenciones,,230,4,1500,0,1500,100
,,,,,,,,,,,
,231,16000,Acción social. Seguridad Social,Acción social. Seguridad Social,,231,1,2100000,0,2100000,1957298.65
,,,,,,,,,,,
,231,16200,Acción social. Formación y perfeccionamiento del personal,Acción social. Formación y perfeccionamiento del personal,,231,1,67954.8,0,67954.8,11090.8
,,,,,,,,,,,
,231,16203,Acción social. Ayuda de estudios,Acción social. Ayuda de estudios,,231,1,58409.11,0,58409.11,5803.37
,,,,,,,,,,,
,231,16204,Acción social. Acción social,Acción social. Acción social,,231,1,214504.51,0,214504.51,323848.93
,,,,,,,,,,,
,231,16206,Acción social. Prevención de riesgos laborales,Acción social. Prevención de riesgos laborales,,231,1,29538.1,0,29538.1,14687.09
,,,,,,,,,,,
,231,16207,Acción social. Reconocimientos y analíticas,Acción social. Reconocimientos y analíticas,,231,1,6500,0,6500,5515.46
,,,,,,,,,,,
,231,21301,"Acción social. Mantenimiento, maquinaria, instalacciones y utillaje","Acción social. Mantenimiento, maquinaria, instalacciones y utillaje",,231,2,9405.16,0,9405.16,8846.96
,,,,,,,,,,,
,231,21304,Acción social. Mantenimiento equipos de extinción,Acción social. Mantenimiento equipos de extinción,,231,2,25207.36,1450.41,26657.77,26373.42
,,,,,,,,,,,
,231,22115,Acción social. Equipos de protección individual,Acción social. Equipos de protección individual,,231,2,1700,0,1700,1670.6
,,,,,,,,,,,
,231,22124,Acción social. Reposición equipos de extinción obligatorios,Acción social. Reposición equipos de extinción obligatorios,,231,2,6105.15,6105.15,12210.3,8671.8
,,,,,,,,,,,
,231,62301,Acción social. Sist.protección para canastas polideportivo,Acción social. Sist.protección para canastas polideportivo,,231,6,10500,0,10500,0
,,,,,,,,,,,
,231,62307,Acción social. Protecciones colectivas  obligatorias,Acción social. Protecciones colectivas  obligatorias,,231,6,6000,25174.26,31174.26,16153.31
,,,,,,,,,,,
,231,62900,Acción social. Planes de autoprotección y proy.,Acción social. Planes de autoprotección y proy.,,231,6,6000,0,6000,0
,,,,,,,,,,,
,234,11000,Infancia y Juventud  Retribuciones básicas,Infancia y Juventud  Retribuciones básicas,,234,1,28000,0,28000,0
,,,,,,,,,,,
,234,13000,Infancia y Juventud Salario Base,Infancia y Juventud Salario Base,,234,1,8389.5,0,8389.5,10177.86
,,,,,,,,,,,
,234,13002,Infancia y Juventud Otras remuneraciones,Infancia y Juventud Otras remuneraciones,,234,1,12862.22,0,12862.22,16463.05
,,,,,,,,,,,
,234,13006,Infancia y Juventud Mujer Trienios,Infancia y Juventud Mujer Trienios,,234,1,877.1,0,877.1,1886.02
,,,,,,,,,,,
,234,13100,Infancia y Juvenud Salario Base,Infancia y Juvenud Salario Base,,234,1,70569.88,0,70569.88,59124.12
,,,,,,,,,,,
,234,13102,Infancia y Juventud Otras Remuneraciones,Infancia y Juventud Otras Remuneraciones,,234,1,95314.02,0,95314.02,75510.72
,,,,,,,,,,,
,234,13106,Infancia y Juventud Trienios,Infancia y Juventud Trienios,,234,1,4619.51,0,4619.51,3327.79
